#,time(s),count A,count B,count C,count D
262,1.31,-31,-50,,
263,1.315,-30,-50,,
264,1.32,-28,-51,,
265,1.325,-27,-52,,
266,1.33,-26,-52,,
267,1.335,-24,-53,,
268,1.34,-23,-54,,
269,1.345,-22,-54,,
270,1.35,-20,-54,,
271,1.355,-19,-55,,
272,1.36,-17,-55,,
273,1.365,-16,-56,,
274,1.37,-14,-56,,
275,1.375,-13,-56,,
276,1.38,-12,-56,,
277,1.385,-10,-57,,
278,1.39,-9,-57,,
279,1.395,-8,-57,,
280,1.4,-6,-57,,
281,1.405,-5,-57,,
282,1.41,-4,-57,,
283,1.415,-2,-57,,
284,1.42,-1,-57,,
285,1.425,0,-57,,
286,1.43,1,-56,,
287,1.435,2,-56,,
288,1.44,3,-56,,
289,1.445,4,-56,,
290,1.45,5,-55,,
291,1.455,6,-55,,
292,1.46,8,-54,,
293,1.465,8,-54,,
294,1.47,9,-53,,
295,1.475,10,-53,,
296,1.48,11,-52,,
297,1.485,12,-51,,
298,1.49,13,-50,,
299,1.495,14,-50,,
300,1.5,14,-49,,
301,1.505,15,-48,,
302,1.51,16,-47,,
303,1.515,16,-46,,
304,1.52,17,-45,,
305,1.525,18,-44,,
306,1.53,18,-43,,
307,1.535,18,-42,,
308,1.54,19,-41,,
309,1.545,19,-40,,
310,1.55,20,-38,,
311,1.555,20,-37,,
312,1.56,20,-36,,
313,1.565,20,-34,,
314,1.57,20,-33,,
315,1.575,21,-31,,
316,1.58,21,-30,,
317,1.585,21,-28,,
318,1.59,21,-27,,
319,1.595,21,-26,,
320,1.6,21,-24,,
321,1.605,21,-22,,
322,1.61,21,-20,,
323,1.615,21,-19,,
324,1.62,21,-17,,
325,1.625,21,-16,,
326,1.63,21,-14,,
327,1.635,20,-12,,
328,1.64,20,-11,,
329,1.645,20,-9,,
330,1.65,20,-7,,
331,1.655,19,-6,,
332,1.66,19,-4,,
333,1.665,19,-2,,
334,1.67,18,0,,
335,1.675,18,2,,
336,1.68,18,3,,
337,1.685,17,5,,
338,1.69,17,7,,
339,1.695,16,8,,
340,1.7,16,10,,
341,1.705,15,12,,
342,1.71,15,14,,
343,1.715,14,15,,
344,1.72,14,17,,
345,1.725,14,19,,
346,1.73,13,20,,
347,1.735,12,22,,
348,1.74,12,24,,
349,1.745,12,25,,
350,1.75,11,26,,
351,1.755,11,28,,
352,1.76,10,30,,
353,1.765,10,31,,
354,1.77,9,32,,
355,1.775,9,34,,
356,1.78,8,35,,
357,1.785,8,36,,
358,1.79,8,38,,
359,1.795,7,39,,
360,1.8,7,40,,
361,1.805,6,41,,
362,1.81,6,42,,
363,1.815,6,44,,
364,1.82,6,44,,
365,1.825,5,46,,
366,1.83,5,46,,
367,1.835,5,47,,
368,1.84,4,48,,
369,1.845,4,49,,
370,1.85,4,50,,
371,1.855,4,50,,
372,1.86,4,51,,
373,1.865,4,52,,
374,1.87,4,52,,
375,1.875,4,52,,
376,1.88,4,53,,
377,1.885,4,53,,
378,1.89,4,54,,
379,1.895,4,54,,
380,1.9,4,54,,
381,1.905,4,54,,
382,1.91,4,54,,
383,1.915,4,54,,
384,1.92,4,54,,
385,1.925,5,54,,
386,1.93,5,54,,
387,1.935,5,54,,
388,1.94,6,54,,
389,1.945,6,54,,
390,1.95,6,53,,
391,1.955,7,53,,
392,1.96,7,52,,
393,1.965,8,52,,
394,1.97,8,51,,
395,1.975,9,51,,
396,1.98,9,50,,
397,1.985,10,49,,
398,1.99,10,48,,
399,1.995,11,48,,
400,2,12,47,,
401,2.005,12,46,,
402,2.01,13,45,,
403,2.015,14,44,,
404,2.02,14,43,,
405,2.025,15,42,,
406,2.03,16,41,,
407,2.035,16,40,,
408,2.04,17,39,,
409,2.045,18,38,,
410,2.05,18,36,,
411,2.055,19,35,,
412,2.06,20,34,,
413,2.065,21,33,,
414,2.07,22,32,,
415,2.075,22,30,,
416,2.08,23,29,,
417,2.085,24,27,,
418,2.09,25,26,,
419,2.095,25,24,,
420,2.1,26,23,,
421,2.105,27,22,,
422,2.11,28,20,,
423,2.115,28,18,,
424,2.12,29,17,,
425,2.125,30,16,,
426,2.13,30,14,,
427,2.135,31,12,,
428,2.14,32,11,,
429,2.145,32,10,,
430,2.15,33,8,,
431,2.155,34,6,,
432,2.16,34,5,,
433,2.165,35,4,,
434,2.17,36,2,,
435,2.175,36,0,,
436,2.18,36,-1,,
437,2.185,37,-2,,
438,2.19,37,-4,,
439,2.195,38,-5,,
440,2.2,38,-7,,
441,2.205,38,-8,,
442,2.21,38,-10,,
443,2.215,39,-11,,
444,2.22,39,-12,,
445,2.225,39,-14,,
446,2.23,39,-15,,
447,2.235,40,-16,,
448,2.24,40,-18,,
449,2.245,40,-19,,
450,2.25,40,-20,,
451,2.255,39,-21,,
452,2.26,39,-22,,
453,2.265,39,-24,,
454,2.27,39,-24,,
455,2.275,39,-26,,
456,2.28,38,-26,,
457,2.285,38,-28,,
458,2.29,38,-28,,
459,2.295,37,-29,,
460,2.3,37,-30,,
461,2.305,36,-31,,
462,2.31,36,-32,,
463,2.315,35,-33,,
464,2.32,34,-34,,
465,2.325,34,-34,,
466,2.33,33,-35,,
467,2.335,32,-35,,
468,2.34,31,-36,,
469,2.345,30,-36,,
470,2.35,29,-37,,
471,2.355,28,-38,,
472,2.36,27,-38,,
473,2.365,26,-38,,
474,2.37,25,-39,,
475,2.375,24,-39,,
476,2.38,23,-39,,
477,2.385,22,-40,,
478,2.39,20,-40,,
479,2.395,19,-40,,
480,2.4,18,-40,,
481,2.405,16,-40,,
482,2.41,15,-40,,
483,2.415,14,-40,,
484,2.42,12,-40,,
485,2.425,10,-40,,
486,2.43,9,-40,,
487,2.435,8,-40,,
488,2.44,6,-40,,
489,2.445,4,-40,,
490,2.45,3,-40,,
491,2.455,1,-40,,
492,2.46,0,-40,,
493,2.465,-2,-39,,
494,2.47,-4,-39,,
495,2.475,-6,-38,,
496,2.48,-7,-38,,
497,2.485,-9,-38,,
498,2.49,-10,-38,,
499,2.495,-12,-37,,
500,2.5,-14,-37,,
501,2.505,-16,-36,,
502,2.51,-17,-36,,
503,2.515,-19,-36,,
504,2.52,-21,-35,,
505,2.525,-22,-35,,
506,2.53,-24,-34,,
507,2.535,-26,-34,,
508,2.54,-28,-33,,
509,2.545,-29,-33,,
510,2.55,-31,-32,,
511,2.555,-32,-32,,
