#,time(s),count A,count B,count C,count D
267,1.335,-31,-23,,
268,1.34,-31,-22,,
269,1.345,-31,-21,,
270,1.35,-31,-20,,
271,1.355,-31,-18,,
272,1.36,-31,-17,,
273,1.365,-30,-16,,
274,1.37,-30,-15,,
275,1.375,-30,-14,,
276,1.38,-30,-12,,
277,1.385,-30,-11,,
278,1.39,-30,-10,,
279,1.395,-30,-8,,
280,1.4,-30,-7,,
281,1.405,-30,-6,,
282,1.41,-30,-5,,
283,1.415,-29,-4,,
284,1.42,-29,-2,,
285,1.425,-29,-1,,
286,1.43,-28,0,,
287,1.435,-28,1,,
288,1.44,-28,2,,
289,1.445,-28,4,,
290,1.45,-27,4,,
291,1.455,-27,6,,
292,1.46,-26,7,,
293,1.465,-26,8,,
294,1.47,-26,9,,
295,1.475,-25,10,,
296,1.48,-24,11,,
297,1.485,-24,12,,
298,1.49,-24,13,,
299,1.495,-23,14,,
300,1.5,-22,15,,
301,1.505,-22,16,,
302,1.51,-21,17,,
303,1.515,-20,18,,
304,1.52,-20,19,,
305,1.525,-19,20,,
306,1.53,-18,21,,
307,1.535,-18,22,,
308,1.54,-17,22,,
309,1.545,-16,23,,
310,1.55,-16,24,,
311,1.555,-15,24,,
312,1.56,-14,25,,
313,1.565,-13,26,,
314,1.57,-12,26,,
315,1.575,-12,27,,
316,1.58,-10,28,,
317,1.585,-10,28,,
318,1.59,-9,29,,
319,1.595,-8,30,,
320,1.6,-7,30,,
321,1.605,-6,30,,
322,1.61,-5,31,,
323,1.615,-4,31,,
324,1.62,-3,32,,
325,1.625,-2,32,,
326,1.63,-1,32,,
327,1.635,0,33,,
328,1.64,2,33,,
329,1.645,2,33,,
330,1.65,4,34,,
331,1.655,4,34,,
332,1.66,6,34,,
333,1.665,7,34,,
334,1.67,8,34,,
335,1.675,9,34,,
336,1.68,10,34,,
337,1.685,11,35,,
338,1.69,12,35,,
339,1.695,13,35,,
340,1.7,14,35,,
341,1.705,16,35,,
342,1.71,16,35,,
343,1.715,18,35,,
344,1.72,18,35,,
345,1.725,20,35,,
346,1.73,21,34,,
347,1.735,22,34,,
348,1.74,23,34,,
349,1.745,24,34,,
350,1.75,25,34,,
351,1.755,26,34,,
352,1.76,26,34,,
353,1.765,28,34,,
354,1.77,28,34,,
355,1.775,30,33,,
356,1.78,30,33,,
357,1.785,31,33,,
358,1.79,32,32,,
359,1.795,33,32,,
360,1.8,34,32,,
361,1.805,34,32,,
362,1.81,36,32,,
363,1.815,36,31,,
364,1.82,37,31,,
365,1.825,38,30,,
366,1.83,38,30,,
367,1.835,39,30,,
368,1.84,39,30,,
369,1.845,40,29,,
370,1.85,40,29,,
371,1.855,41,29,,
372,1.86,42,28,,
373,1.865,42,28,,
374,1.87,42,28,,
375,1.875,42,28,,
376,1.88,43,27,,
377,1.885,43,27,,
378,1.89,44,26,,
379,1.895,44,26,,
380,1.9,44,26,,
381,1.905,44,26,,
382,1.91,44,25,,
383,1.915,44,25,,
384,1.92,44,24,,
385,1.925,44,24,,
386,1.93,44,24,,
387,1.935,44,24,,
388,1.94,44,23,,
389,1.945,44,23,,
390,1.95,44,22,,
391,1.955,43,22,,
392,1.96,43,22,,
393,1.965,43,22,,
394,1.97,42,22,,
395,1.975,42,21,,
396,1.98,42,21,,
397,1.985,41,20,,
398,1.99,40,20,,
399,1.995,40,20,,
400,2,40,20,,
401,2.005,39,20,,
402,2.01,38,19,,
403,2.015,38,19,,
404,2.02,37,19,,
405,2.025,36,18,,
406,2.03,35,18,,
407,2.035,34,18,,
408,2.04,34,18,,
409,2.045,33,18,,
410,2.05,32,17,,
411,2.055,31,17,,
412,2.06,30,17,,
413,2.065,29,16,,
414,2.07,28,16,,
415,2.075,27,16,,
416,2.08,26,16,,
417,2.085,24,16,,
418,2.09,24,16,,
419,2.095,22,15,,
420,2.1,21,15,,
421,2.105,20,15,,
422,2.11,19,14,,
423,2.115,18,14,,
424,2.12,16,14,,
425,2.125,15,14,,
426,2.13,14,14,,
427,2.135,12,13,,
428,2.14,11,13,,
429,2.145,10,12,,
430,2.15,8,12,,
431,2.155,7,12,,
432,2.16,6,12,,
433,2.165,4,12,,
434,2.17,3,11,,
435,2.175,2,11,,
436,2.18,0,10,,
437,2.185,-1,10,,
438,2.19,-2,10,,
439,2.195,-4,10,,
440,2.2,-5,9,,
441,2.205,-6,9,,
442,2.21,-8,8,,
443,2.215,-9,8,,
444,2.22,-10,8,,
445,2.225,-12,7,,
446,2.23,-13,7,,
447,2.235,-14,6,,
448,2.24,-16,6,,
449,2.245,-17,6,,
450,2.25,-18,5,,
451,2.255,-20,4,,
452,2.26,-20,4,,
453,2.265,-22,4,,
454,2.27,-23,3,,
455,2.275,-24,2,,
456,2.28,-26,2,,
457,2.285,-26,1,,
458,2.29,-28,1,,
459,2.295,-29,0,,
460,2.3,-30,0,,
461,2.305,-31,-1,,
462,2.31,-32,-2,,
463,2.315,-33,-2,,
464,2.32,-34,-3,,
465,2.325,-35,-4,,
466,2.33,-36,-4,,
467,2.335,-36,-5,,
468,2.34,-38,-6,,
469,2.345,-38,-6,,
470,2.35,-39,-7,,
471,2.355,-40,-7,,
472,2.36,-40,-8,,
473,2.365,-41,-9,,
474,2.37,-42,-9,,
475,2.375,-42,-10,,
476,2.38,-43,-11,,
477,2.385,-44,-12,,
478,2.39,-44,-12,,
479,2.395,-45,-13,,
